theme_code,theme_label,reasoning,raw_response,error,respondent_id,A1_zone,vendor_food,C3_safe_harbour_aware,B1b_registered_binary,F1_text
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0001,3,0,0,1,Registration ka tareeqa bohat mushkil lagta hai
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0002,3,0,1,1,Hamari dukan chhoti hai digital ki zaroorat nahi
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0003,1,1,1,0,Jab safe harbour ka pata chala to main ne register kar liya
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0004,1,0,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0005,2,0,0,0,Fees zyada hain wallets ki
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0006,3,1,0,0,Mere grahak cash hi dete hain
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0007,2,0,0,0,Mere grahak cash hi dete hain
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0008,2,0,1,0,Internet sahi nahi hota yahan
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0009,2,0,0,0,Darr hai ke FBR aa jaye ga
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0010,2,0,0,0,Mujhe pata nahi tha ke kaise register karein
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0011,1,0,0,0,Darr hai ke FBR aa jaye ga
SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0012,1,1,0,0,Hamari dukan chhoti hai digital ki zaroorat nahi
POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0013,2,0,1,0,Jab safe harbour ka pata chala to main ne register kar liya
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0014,1,0,0,0,Internet sahi nahi hota yahan
COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0015,2,0,1,0,Fees zyada hain wallets ki
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0016,3,0,0,0,Registration ka tareeqa bohat mushkil lagta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0017,2,0,0,1,Paisa account mein aata hai toh KPRA dekh leta hai
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0018,1,1,0,0,Darr hai ke FBR aa jaye ga
TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0019,2,1,0,0,Darr hai ke FBR aa jaye ga
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0020,3,1,1,0,Mujhe pata nahi tha ke kaise register karein
INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0021,1,1,0,0,Internet sahi nahi hota yahan
PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0022,2,1,0,0,Registration ka tareeqa bohat mushkil lagta hai
CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),,No API key — rule-based coding used,KHT-0023,2,0,0,0,Mere grahak cash hi dete hain
