respondent_id,F1_text,theme_code,theme_label,reasoning,error
KHT-0001,Registration ka tareeqa bohat mushkil lagta hai,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0002,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0003,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0004,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0005,Fees zyada hain wallets ki,COST_BARRIER,Fee / Cost Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0006,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0007,Mere grahak cash hi dete hain,CUSTOMER_DEMAND,Low Customer Demand / Cash Preference,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0008,Internet sahi nahi hota yahan,INFRASTRUCTURE,Infrastructure Barrier,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0009,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0010,Mujhe pata nahi tha ke kaise register karein,PROCESS_COMPLEXITY,Registration Process Complexity,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0011,Darr hai ke FBR aa jaye ga,TAX_ANXIETY,Tax / Audit Anxiety,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0012,Hamari dukan chhoti hai digital ki zaroorat nahi,SMALL_SCALE,Small Scale / Not Worthwhile,Rule-based fallback (no API key),No API key — rule-based coding used
KHT-0013,Jab safe harbour ka pata chala to main ne register kar liya,POSITIVE_NUDGE,Positive Nudge / Already Adopted,Rule-based fallback (no API key),No API key — rule-based coding used
